diff_coherence_completeness,diff_consistency_factuality,diff_emotion_coherence,diff_readability_emotion,dim_bottom3_mean,dim_bottom3_std,dim_coherence,dim_completeness,dim_emotional_impact,dim_entity_consistency,dim_factuality,dim_max,dim_mean,dim_min,dim_range,dim_readability,dim_std,dim_top3_mean,dim_var,flag_dim_below_60,flag_emotion_dominant,inter_coherence_completeness,inter_coherence_readability,inter_consistency_coherence,inter_readability_completeness,inter_readability_emotion,priv_age_adult,priv_age_adult_ya,priv_age_children_10_14,priv_age_children_10_15,priv_age_children_10_16,priv_age_children_3_7,priv_age_children_4_10,priv_age_children_4_6,priv_age_children_4_8,priv_age_children_5_10,priv_age_children_6_10,priv_age_children_6_12,priv_age_children_7_10,priv_age_children_7_12,priv_age_children_7_13,priv_age_children_7_8,priv_age_children_8_12,priv_age_children_8_13,priv_age_children_8_14,priv_age_children_9_14,priv_age_teen_12_18,priv_age_teen_adult,priv_age_ya_new_adult,priv_age_young_adult_11_16,priv_char_count_k,priv_is_children_target,priv_log_char_count,priv_log_ratings_count,priv_log_ratings_per_kword,priv_log_word_count,priv_low_quality_signal,priv_platform_goodreads,priv_platform_project_gutenberg,priv_quality_high,priv_quality_low,priv_quality_medium,priv_quality_medium_high,priv_quality_medium_low,priv_quality_very_high,priv_ratings_count_per_k,priv_ratings_per_char,priv_ratings_per_word,priv_source_andersen,priv_source_brothers_grimm,priv_source_project_gutenberg,priv_source_public_domain,priv_source_wilde,priv_text_source_length,priv_title_length,priv_word_count_k,shortfall_gap_70,story_id,timestamp,txt_avg_sentence_length,txt_capitalized_ratio,txt_chars_per_word,txt_dialogue_narration_ratio,txt_dialogue_ratio,txt_dialogue_turns,txt_dialogue_word_ratio,txt_dis_legomena_ratio,txt_exclam_density,txt_genre_confidence,txt_genre_fable,txt_genre_fairy_tale,txt_genre_novel,txt_genre_poem,txt_genre_short_story,txt_hapax_ratio,txt_intro_sentiment_balance,txt_intro_sentiment_magnitude,txt_lf_chunk_count,txt_lf_cosine_consecutive_mean,txt_lf_cosine_consecutive_std,txt_lf_cosine_global_mean,txt_lf_cosine_global_std,txt_lf_norm_mean,txt_lf_norm_std,txt_lf_spread_mean,txt_lf_spread_std,txt_log_char_count,txt_log_word_count,txt_long_sentence_ratio,txt_max_sentence_length,txt_min_sentence_length,txt_named_entity_count,txt_named_entity_density,txt_negative_ratio,txt_numeric_token_ratio,txt_outro_sentiment_balance,txt_outro_sentiment_magnitude,txt_paragraph_avg_sentence,txt_paragraph_count_per_k,txt_paragraph_density,txt_paragraph_word_mean,txt_paragraph_word_std,txt_positive_ratio,txt_punctuation_density,txt_question_density,txt_sentence_count,txt_sentence_length_median,txt_sentence_length_std,txt_sentence_variation_ratio,txt_sentiment_balance,txt_sentiment_balance_delta,txt_sentiment_magnitude,txt_sentiment_magnitude_delta,txt_sentiment_polarity,txt_stopword_ratio,txt_title_overlap_ratio,txt_unique_ratio,txt_word_entropy,txt_word_length_mean,txt_word_length_std,user_score
10.000000,9.400000,0.367716,-8.667716,68.033333,1.855323,78.400000,68.400000,78.767716,75.000000,65.600000,78.767716,72.711286,65.600000,13.167716,70.100000,5.004272,77.389239,25.042736,0.000000,0.000000,0.536256,0.549584,0.588000,0.479484,0.552162,,,,,,,,,,,,,,,,,,,1.000000,,,,,,8.302000,1.000000,9.024372,3.135494,2.699438,7.369601,1.000000,1.000000,,,1.000000,,,,,0.022000,0.002650,0.013871,1.000000,,,1.000000,,63.000000,17.000000,1.586000,4.400000,A Cheerful Temper,2025-11-09T10:59:32.736476,25.078125,0.046106,5.260436,0.047650,0.171875,11.000000,0.045483,0.136201,0.003115,0.378973,0.303178,0.227384,0.000000,0.090465,0.378973,0.652330,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,12.308257,0.000000,0.000000,0.000000,9.041211,7.381502,0.406250,85.000000,5.000000,39.000000,0.609375,0.000000,0.000623,0.006250,0.006250,5.333333,7.476636,0.007477,133.750000,104.862708,0.002492,0.033400,0.002492,64.000000,21.500000,17.364030,0.692397,0.002492,0.006250,0.002492,0.006250,1.000000,0.393769,1.000000,0.347664,5.494278,4.066126,2.169227,51.000000
6.600000,15.400000,5.561088,-2.361088,68.500000,6.512040,77.500000,70.900000,83.061088,75.000000,59.600000,83.061088,74.460181,59.600000,23.461088,80.700000,7.702194,80.420363,59.323787,1.000000,0.000000,0.549475,0.625425,0.581250,0.572163,0.670303,,,,,,,,,,,,,,,,,,1.000000,,,,,,,5.492000,1.000000,8.611230,3.806662,3.770211,6.946014,,1.000000,,,,,,1.000000,,0.044000,0.008012,0.042389,1.000000,,1.000000,1.000000,,58.000000,18.000000,1.038000,10.400000,A Leaf From Heaven,2025-11-09T11:00:58.973749,18.890909,0.060635,5.389798,0.197005,0.309091,17.000000,0.164581,0.144608,0.003850,0.318841,0.191304,0.318841,0.000000,0.171014,0.318841,0.661765,0.009709,0.009709,1.000000,1.000000,0.000000,1.000000,0.000000,11.797846,0.000000,0.000000,0.000000,8.630700,6.946976,0.290909,58.000000,3.000000,36.000000,0.654545,0.000962,0.000000,-0.009709,0.009709,2.750000,19.249278,0.019249,51.950000,45.007194,0.000962,0.030357,0.000962,55.000000,18.000000,11.061272,0.585534,0.000000,-0.019417,0.001925,0.000000,0.000000,0.399423,1.000000,0.392685,5.251255,4.205598,2.084417,52.200000
-4.100000,9.100000,15.631681,-14.631681,70.833333,3.512201,72.800000,76.900000,88.431681,75.000000,65.900000,88.431681,75.471947,65.900000,22.531681,73.800000,6.730201,80.110560,45.295608,0.000000,1.000000,0.559832,0.537264,0.546000,0.567522,0.652626,,,,,,,,,,,,,,,,,,,,,1.000000,,,,22.560000,,10.023978,3.713572,2.319039,8.381373,,1.000000,,,,1.000000,,,,0.040000,0.001773,0.009166,1.000000,,1.000000,1.000000,,58.000000,12.000000,4.364000,4.100000,Anne Lisbeth,2025-11-09T11:06:37.939776,22.050251,0.056974,5.229034,0.088834,0.185930,37.000000,0.081586,0.148459,0.005697,0.362747,0.290197,0.253923,0.362747,0.027839,0.065294,0.586368,-0.004566,0.004566,2.000000,0.953552,0.000000,0.988320,0.000094,11.966350,0.048051,1.824213,0.000000,10.040899,8.386857,0.366834,77.000000,1.000000,67.000000,0.336683,0.002963,0.000000,0.004566,0.004566,6.218750,7.292616,0.007293,137.125000,95.768193,0.001139,0.033907,0.001823,199.000000,18.000000,14.742258,0.668575,-0.001823,0.009132,0.004102,0.000000,-0.444444,0.426846,1.000000,0.244075,5.687506,3.996329,1.875419,59.000000
1.200000,12.900000,13.761363,-15.461363,67.266667,3.659083,71.300000,70.100000,85.061363,75.000000,62.100000,85.061363,72.193561,62.100000,22.961363,69.600000,6.919109,77.120454,47.874070,0.000000,1.000000,0.499813,0.496248,0.534750,0.487896,0.592027,,,,,,,,,,,,,,,,,,,1.000000,,,,,,13.002000,1.000000,9.472935,5.913503,4.975765,7.850104,,1.000000,,1.000000,,,,,,0.369000,0.028380,0.143860,,1.000000,1.000000,1.000000,,61.000000,9.000000,2.565000,7.900000,Ashputtel,2025-11-09T11:09:52.340525,23.285714,0.054448,5.078221,0.000000,0.000000,0.000000,0.000000,0.186139,0.013804,0.281124,0.093708,0.281124,0.281124,0.109772,0.234270,0.421782,0.003846,0.003846,1.000000,1.000000,0.000000,1.000000,0.000000,11.864280,0.000000,0.000000,0.000000,9.491375,7.866722,0.455357,67.000000,1.000000,40.000000,0.357143,0.000383,0.000000,-0.003846,0.003846,3.393939,12.653374,0.012653,79.030303,69.038191,0.000767,0.034506,0.001917,112.000000,22.000000,15.568643,0.668592,0.000383,-0.007692,0.001150,0.000000,0.333333,0.406058,1.000000,0.193635,5.226656,3.852321,1.538178,79.200000
-22.700000,19.600000,26.169238,-12.869238,66.400000,6.678822,62.500000,85.200000,88.669238,80.500000,60.900000,88.669238,75.594873,60.900000,27.769238,75.800000,10.604361,84.789746,112.452470,0.000000,1.000000,0.532500,0.473750,0.503125,0.645816,0.672113,,,,,1.000000,,,,,,,,,,,,,,,,,,,,14.972000,1.000000,9.614004,3.465736,2.509386,7.917536,,1.000000,,,,1.000000,,,,0.031000,0.002071,0.011297,1.000000,,1.000000,1.000000,,58.000000,33.000000,2.744000,9.100000,Beauty of Form and Beauty of Mind,2025-11-09T11:13:00.275242,19.426573,0.071274,5.493161,0.461336,0.349650,50.000000,0.315695,0.160234,0.004680,0.231749,0.132428,0.231749,0.198642,0.205433,0.231749,0.621053,0.003610,0.003610,1.000000,1.000000,0.000000,1.000000,0.000000,12.240281,0.000000,0.000000,0.000000,9.633056,7.929846,0.272727,73.000000,1.000000,75.000000,0.524476,0.000720,0.000000,0.007220,0.007220,3.177778,16.198704,0.016199,61.733333,57.167357,0.002160,0.039843,0.002520,143.000000,18.000000,14.122585,0.726973,0.001440,0.003610,0.002880,0.003610,0.500000,0.402448,1.000000,0.307775,5.715850,4.229152,2.185652,55.400000
25.700000,27.000000,-22.304312,25.804312,56.198563,5.277512,76.600000,50.900000,54.295688,90.400000,63.400000,90.400000,69.282615,50.900000,39.500000,80.100000,14.222269,82.366667,202.272930,1.000000,0.000000,0.389894,0.613566,0.692464,0.407709,0.434908,,,,,,,,,,,,,,,,,,,,,1.000000,,,,3.618000,,8.193953,3.465736,3.465736,6.511745,,1.000000,,,,1.000000,,,,0.031000,0.008568,0.046131,1.000000,,1.000000,1.000000,,58.000000,23.000000,0.672000,19.100000,By the Almshouse Window,2025-11-09T11:13:47.497769,19.400000,0.055965,5.419735,0.855191,0.057143,2.000000,0.460972,0.155556,0.016200,0.333333,0.166667,0.250000,0.000000,0.250000,0.333333,0.679365,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,11.970632,0.000000,0.000000,0.000000,8.210940,6.522093,0.257143,81.000000,1.000000,30.000000,0.857143,0.002946,0.000000,0.000000,0.000000,5.000000,7.000000,0.010309,97.000000,61.820015,0.004418,0.030707,0.002946,35.000000,13.000000,19.103029,0.984692,0.001473,0.000000,0.007364,0.000000,0.200000,0.379971,1.000000,0.463918,5.141574,4.219764,1.847527,56.200000
15.300000,15.800000,-15.022336,16.822336,60.725888,3.095041,73.700000,58.400000,58.677664,80.900000,65.100000,80.900000,68.712944,58.400000,22.500000,75.500000,8.559363,76.700000,73.262702,1.000000,0.000000,0.430408,0.556435,0.596233,0.440920,0.443016,,,,,,,,,,,,1.000000,,,,,,,,,,,,,4.997000,1.000000,8.516793,6.089045,6.089045,6.883463,,1.000000,,,,1.000000,,,,0.440000,0.088053,0.451282,,1.000000,1.000000,1.000000,,49.000000,28.000000,0.975000,11.600000,Cat and Mouse in Partnership,2025-11-09T11:15:05.501487,17.750000,0.052314,5.104628,0.000000,0.000000,0.000000,0.000000,0.141618,0.010060,0.479452,0.479452,0.159817,0.000000,0.041096,0.319635,0.606936,0.010101,0.010101,1.000000,1.000000,0.000000,1.000000,0.000000,12.215127,0.000000,0.000000,0.000000,8.532082,6.902743,0.214286,70.000000,1.000000,30.000000,0.535714,0.001006,0.000000,0.000000,0.000000,14.000000,4.000000,0.004024,248.500000,108.089084,0.001006,0.034884,0.006036,56.000000,14.500000,13.604424,0.766446,0.000000,-0.010101,0.002012,-0.010101,0.000000,0.374245,0.800000,0.348089,5.157667,3.858149,1.823444,67.200000
16.200000,9.100000,1.067312,-25.267312,66.033333,3.267347,86.300000,70.100000,87.367312,75.000000,65.900000,87.367312,74.461219,62.100000,25.267312,62.100000,9.592781,82.889104,92.021451,0.000000,1.000000,0.604963,0.535923,0.647250,0.435321,0.542551,,,,,,,,,,,,,,,,,,,1.000000,,,,,,10.422000,1.000000,9.251770,4.875197,4.129977,7.661998,,1.000000,,1.000000,,,,,,0.130000,0.012474,0.061176,,1.000000,1.000000,1.000000,,61.000000,8.000000,2.125000,7.900000,Cat-Skin,2025-11-09T11:17:16.799992,27.615385,0.045497,4.913649,0.000000,0.000000,0.000000,0.000000,0.148936,0.001857,0.365385,0.162393,0.365385,0.243590,0.025641,0.202991,0.474468,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,12.213332,0.000000,0.000000,0.000000,9.267193,7.675546,0.487179,86.000000,1.000000,34.000000,0.435897,0.000000,0.000000,0.000000,0.000000,7.090909,5.106778,0.005107,195.818182,66.966502,0.000000,0.030518,0.002786,78.000000,23.500000,17.816897,0.645180,0.000000,0.000000,0.000000,0.000000,0.000000,0.415042,1.000000,0.218199,5.188233,3.735376,1.577047,60.400000
14.200000,13.500000,-22.131813,7.731813,67.656063,4.035626,87.700000,73.500000,65.568187,77.600000,64.100000,87.700000,73.628031,64.100000,23.600000,73.300000,7.849260,79.600000,61.610883,0.000000,0.000000,0.644595,0.642841,0.680552,0.538755,0.480615,,,,,,,,,,,,,,,,,,,1.000000,,,,,,4.329000,1.000000,8.373323,3.258097,3.258097,6.722630,1.000000,1.000000,,,1.000000,,,,,0.025000,0.005775,0.030120,1.000000,,1.000000,1.000000,,58.000000,18.000000,0.830000,5.900000,Children's Prattle,2025-11-09T11:18:15.286738,23.914286,0.044205,5.270012,0.159280,0.314286,11.000000,0.137395,0.164430,0.000000,0.370787,0.185393,0.370787,0.000000,0.134831,0.308989,0.587248,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,12.765086,0.000000,0.000000,0.000000,8.392083,6.731018,0.314286,62.000000,1.000000,25.000000,0.714286,0.001195,0.000000,0.000000,0.000000,3.181818,11.000000,0.013142,76.090909,55.273624,0.000000,0.037860,0.002389,35.000000,21.000000,14.464481,0.604847,-0.001195,0.000000,0.001195,0.000000,-1.000000,0.421744,1.000000,0.356033,5.056616,4.019324,1.968254,56.800000
9.700000,5.000000,-22.237625,33.337625,61.487458,7.901288,73.200000,63.500000,50.962375,75.000000,70.000000,84.300000,69.493729,50.962375,33.337625,84.300000,10.351114,77.500000,107.145551,1.000000,0.000000,0.464820,0.617076,0.549000,0.535305,0.429613,,,,,,,,,,,,,,,,,,,,,,,1.000000,,1.445000,,7.276556,9.483036,9.483036,5.476464,,1.000000,,1.000000,,,,,,13.134000,9.089273,55.184874,,,,,,14.000000,18.000000,0.238000,19.037625,Cinderella,2025-11-09T11:18:45.646488,11.333333,0.176471,6.155462,0.048458,0.047619,1.000000,0.046218,0.122302,0.008403,0.377907,0.377907,0.377907,0.000000,0.127907,0.116279,0.741007,0.000000,0.086957,1.000000,1.000000,0.000000,1.000000,0.000000,12.854405,0.000000,0.000000,0.000000,7.290293,5.476464,0.047619,26.000000,4.000000,24.000000,1.142857,0.004202,0.000000,0.000000,0.000000,1.909091,11.000000,0.046218,21.636364,13.812200,0.008403,0.030717,0.000000,21.000000,11.000000,6.342099,0.559597,0.004202,0.000000,0.012605,-0.086957,0.333333,0.336134,0.500000,0.584034,4.568432,4.872881,2.381235,78.600000
